year,plot_id,land_type,plot_area_mu,season,crop_id,crop_name,crop_type,planted_area_mu
2024,A1,平旱地,80.0,单季,1,黄豆,粮食（豆类）,80.0
2024,A2,平旱地,55.0,单季,2,黑豆,粮食（豆类）,55.0
2024,A3,平旱地,35.0,单季,4,绿豆,粮食（豆类）,35.0
2024,A5,平旱地,68.0,单季,7,玉米,粮食,68.0
2024,A6,平旱地,55.0,单季,7,玉米,粮食,55.0
2024,B1,梯田,60.0,单季,8,谷子,粮食,60.0
2024,B10,梯田,25.0,单季,2,黑豆,粮食（豆类）,25.0
2024,B11,梯田,60.0,单季,9,高粱,粮食,60.0
2024,B12,梯田,45.0,单季,6,小麦,粮食,45.0
2024,B13,梯田,35.0,单季,3,红豆,粮食（豆类）,35.0
2024,B14,梯田,20.0,单季,2,黑豆,粮食（豆类）,20.0
2024,B2,梯田,46.0,单季,8,谷子,粮食,46.0
2024,B3,梯田,40.0,单季,6,小麦,粮食,40.0
2024,B4,梯田,28.0,单季,8,谷子,粮食,28.0
2024,B5,梯田,25.0,单季,6,小麦,粮食,25.0
2024,B6,梯田,86.0,单季,6,小麦,粮食,86.0
2024,B7,梯田,55.0,单季,8,谷子,粮食,55.0
2024,B8,梯田,44.0,单季,3,红豆,粮食（豆类）,44.0
2024,B9,梯田,50.0,单季,2,黑豆,粮食（豆类）,47.5
2024,B9,梯田,50.0,单季,3,红豆,粮食（豆类）,2.5
2024,C1,山坡地,15.0,单季,5,爬豆,粮食（豆类）,15.0
2024,C2,山坡地,13.0,单季,2,黑豆,粮食（豆类）,13.0
2024,C3,山坡地,15.0,单季,11,荞麦,粮食,15.0
2024,C4,山坡地,18.0,单季,11,荞麦,粮食,18.0
2024,C5,山坡地,27.0,单季,11,荞麦,粮食,27.0
2024,C6,山坡地,20.0,单季,11,荞麦,粮食,20.0
2024,D1,水浇地,15.0,第一季,17,豇豆,蔬菜（豆类）,15.0
2024,D1,水浇地,15.0,第二季,37,红萝卜,蔬菜,15.0
2024,D2,水浇地,10.0,第一季,17,豇豆,蔬菜（豆类）,10.0
2024,D2,水浇地,10.0,第二季,36,白萝卜,蔬菜,10.0
2024,D3,水浇地,14.0,第一季,17,豇豆,蔬菜（豆类）,14.0
2024,D3,水浇地,14.0,第二季,36,白萝卜,蔬菜,14.0
2024,D4,水浇地,6.0,第一季,18,刀豆,蔬菜（豆类）,6.0
2024,D4,水浇地,6.0,第二季,35,大白菜,蔬菜,6.0
2024,D5,水浇地,10.0,第一季,29,黄瓜,蔬菜,10.0
2024,D6,水浇地,12.0,第一季,29,黄瓜,蔬菜,12.0
2024,D6,水浇地,12.0,第二季,36,白萝卜,蔬菜,12.0
2024,D7,水浇地,22.0,第一季,17,豇豆,蔬菜（豆类）,22.0
2024,D7,水浇地,22.0,第二季,36,白萝卜,蔬菜,22.0
2024,D8,水浇地,20.0,第一季,29,黄瓜,蔬菜,20.0
2024,D8,水浇地,20.0,第二季,35,大白菜,蔬菜,20.0
2024,E1,普通大棚,0.6,第一季,29,黄瓜,蔬菜,0.6
2024,E1,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E10,普通大棚,0.6,第一季,29,黄瓜,蔬菜,0.6
2024,E10,普通大棚,0.6,第二季,40,白灵菇,食用菌,0.6
2024,E11,普通大棚,0.6,第一季,29,黄瓜,蔬菜,0.6
2024,E11,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E12,普通大棚,0.6,第一季,18,刀豆,蔬菜（豆类）,0.6
2024,E12,普通大棚,0.6,第二季,40,白灵菇,食用菌,0.6
2024,E13,普通大棚,0.6,第一季,18,刀豆,蔬菜（豆类）,0.6
2024,E13,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E14,普通大棚,0.6,第一季,17,豇豆,蔬菜（豆类）,0.6
2024,E14,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E15,普通大棚,0.6,第一季,17,豇豆,蔬菜（豆类）,0.6
2024,E15,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E16,普通大棚,0.6,第一季,17,豇豆,蔬菜（豆类）,0.6
2024,E16,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E2,普通大棚,0.6,第一季,18,刀豆,蔬菜（豆类）,0.6
2024,E2,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E3,普通大棚,0.6,第一季,17,豇豆,蔬菜（豆类）,0.6
2024,E3,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E4,普通大棚,0.6,第一季,17,豇豆,蔬菜（豆类）,0.6
2024,E4,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E5,普通大棚,0.6,第一季,17,豇豆,蔬菜（豆类）,0.6
2024,E5,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E6,普通大棚,0.6,第一季,17,豇豆,蔬菜（豆类）,0.6
2024,E6,普通大棚,0.6,第二季,40,白灵菇,食用菌,0.6
2024,E7,普通大棚,0.6,第一季,29,黄瓜,蔬菜,0.6
2024,E7,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E8,普通大棚,0.6,第一季,29,黄瓜,蔬菜,0.6
2024,E8,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,E9,普通大棚,0.6,第一季,29,黄瓜,蔬菜,0.6
2024,E9,普通大棚,0.6,第二季,38,榆黄菇,食用菌,0.6
2024,F1,智慧大棚,0.6,第一季,22,茄子,蔬菜,0.6
2024,F1,智慧大棚,0.6,第二季,29,黄瓜,蔬菜,0.6
2024,F2,智慧大棚,0.6,第一季,18,刀豆,蔬菜（豆类）,0.6
2024,F2,智慧大棚,0.6,第二季,29,黄瓜,蔬菜,0.6
2024,F3,智慧大棚,0.6,第一季,22,茄子,蔬菜,0.6
2024,F3,智慧大棚,0.6,第二季,29,黄瓜,蔬菜,0.6
2024,F4,智慧大棚,0.6,第一季,29,黄瓜,蔬菜,0.6
2024,F4,智慧大棚,0.6,第二季,22,茄子,蔬菜,0.6
2025,A2,平旱地,55.0,单季,6,小麦,粮食,55.0
2025,A3,平旱地,35.0,单季,6,小麦,粮食,7.685755352811843
2025,A3,平旱地,35.0,单季,13,红薯,粮食,27.314244647188158
2025,A4,平旱地,72.0,单季,7,玉米,粮食,72.0
2025,A5,平旱地,68.0,单季,6,小麦,粮食,68.0
2025,A6,平旱地,55.0,单季,2,黑豆,粮食（豆类）,2.75
2025,A6,平旱地,55.0,单季,4,绿豆,粮食（豆类）,52.25
2025,B1,梯田,60.0,单季,2,黑豆,粮食（豆类）,60.0
2025,B10,梯田,25.0,单季,8,谷子,粮食,25.0
2025,B11,梯田,60.0,单季,6,小麦,粮食,60.0
2025,B12,梯田,45.0,单季,3,红豆,粮食（豆类）,45.0
2025,B13,梯田,35.0,单季,6,小麦,粮食,35.0
2025,B14,梯田,20.0,单季,8,谷子,粮食,20.0
2025,B2,梯田,46.0,单季,9,高粱,粮食,46.0
2025,B3,梯田,40.0,单季,8,谷子,粮食,40.0
2025,B4,梯田,28.0,单季,6,小麦,粮食,28.0
2025,B5,梯田,25.0,单季,8,谷子,粮食,25.0
2025,B6,梯田,86.0,单季,2,黑豆,粮食（豆类）,86.0
2025,B7,梯田,55.0,单季,2,黑豆,粮食（豆类）,55.0
2025,B9,梯田,50.0,单季,8,谷子,粮食,50.0
2025,C1,山坡地,15.0,单季,11,荞麦,粮食,15.0
2025,C3,山坡地,15.0,单季,10,黍子,粮食,15.0
2025,C4,山坡地,18.0,单季,5,爬豆,粮食（豆类）,18.0
2025,C5,山坡地,27.0,单季,4,绿豆,粮食（豆类）,27.0
2025,C6,山坡地,20.0,单季,10,黍子,粮食,20.0
2025,D1,水浇地,15.0,第一季,29,黄瓜,蔬菜,15.0
2025,D1,水浇地,15.0,第二季,36,白萝卜,蔬菜,15.0
2025,D2,水浇地,10.0,第一季,29,黄瓜,蔬菜,10.0
2025,D2,水浇地,10.0,第二季,36,白萝卜,蔬菜,10.0
2025,D3,水浇地,14.0,第一季,29,黄瓜,蔬菜,14.0
2025,D3,水浇地,14.0,第二季,35,大白菜,蔬菜,14.0
2025,D4,水浇地,6.0,第一季,29,黄瓜,蔬菜,6.0
