scenario,year,revenue_yuan,cost_yuan,profit_yuan,excess_jin,production_jin,excess_rate
0,2024,8703371.668240435,925096.5291904636,7778275.1390499715,978934.0759411111,1856188.815324654,0.5273892762735412
0,2025,10662920.33102098,1060089.8306541494,9602830.50036683,1527290.7885533532,2447752.226494129,0.6239564495222067
0,2026,8794307.732102696,984033.3213653436,7810274.410737352,967451.7806488747,1846420.755991957,0.5239606289678694
0,2027,11237989.722150464,1093919.715427392,10144070.006723072,1514013.9218102454,2376937.595977568,0.6369598951072056
0,2028,9145199.437158633,1043818.5911359258,8101380.846022707,883249.1181157619,1784542.7565429895,0.4949442174346045
0,2029,12357131.278233934,1294377.2344615622,11062754.043772371,1618108.2936241254,2560996.6714967024,0.6318275660539877
0,2030,12598605.754952995,1253364.4021531502,11345241.352799844,1521601.9994997373,2391349.7070559985,0.636294221213253
1,2024,8931399.982264973,921337.2836798899,8010062.698585084,1044146.8732001738,1909816.2197116094,0.5467263616380034
1,2025,11252361.830696514,1054725.1126128682,10197636.718083646,1672041.449324769,2586481.864588804,0.6464539621237932
1,2026,8679233.451125804,982346.1750545942,7696887.27607121,885857.7166837314,1753388.420280978,0.5052261703323978
1,2027,11930179.060367161,1090549.345477232,10839629.714889929,1663567.009274835,2497682.3625198635,0.6660442633692197
1,2028,9060369.42331147,1041494.6244069271,8018874.798904543,862098.5994701445,1784488.4495966788,0.48310685320770314
1,2029,12127784.806337276,1287069.942290457,10840714.86404682,1559497.456137324,2498029.3359081256,0.6242910896682441
1,2030,12362286.833229985,1258825.440682394,11103461.39254759,1489230.574212661,2352526.0605636006,0.6330346767150721
2,2024,9043657.321577607,924446.8500222719,8119210.4715553345,1013261.5049546099,1900173.056740887,0.5332469594598516
2,2025,11007539.93311582,1061190.0497957265,9946349.883320093,1584466.5092115896,2503189.03293956,0.6329791671190368
2,2026,8465763.483854482,983164.1432166363,7482599.340637846,891936.2789486977,1752914.5065343694,0.5088304510139038
2,2027,12231114.679131756,1084829.041907194,11146285.637224562,1700364.7801110088,2578390.494984446,0.6594675179801522
2,2028,9337274.59548497,1043150.7939756005,8294123.801509369,915814.1554799951,1840613.6191310089,0.497559154165321
2,2029,13083273.205244217,1290452.612972063,11792820.592272155,1808812.3543140395,2727626.92176802,0.6631450730591799
2,2030,12889528.035176372,1262027.7672463544,11627500.267930018,1539725.748605971,2426655.54667364,0.6345052764973438
3,2024,8975004.37762669,921751.5601093262,8053252.817517363,996937.2212234434,1900425.4589177563,0.5245863322580269
3,2025,11399730.0248241,1057805.7579098775,10341924.266914222,1659980.0020112335,2572635.331686621,0.6452449678994923
